"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 20 05:10:33 UTC 2026","Wed May 20 05:10:42 UTC 2026","9710","","TC_TPM_006 - Verify Contact Us in Thrive Plus Membership","","","","should check contact us link is correct",""
"passed","Wed May 20 05:08:58 UTC 2026","Wed May 20 05:09:02 UTC 2026","3873","","TC_TPM_001_002_003 - Verify Term Apply in Thrive Plus Membership Section","","","","should click membership again",""
"passed","Wed May 20 05:08:48 UTC 2026","Wed May 20 05:08:58 UTC 2026","10437","","TC_TPM_001_002_003 - Verify Term Apply in Thrive Plus Membership Section","","","","should open the page",""
"passed","Wed May 20 05:05:27 UTC 2026","Wed May 20 05:05:29 UTC 2026","2281","","TC_GlobalSearch_008 -Verify Search is not found in Global Search","","","","should click on global search glass icon",""
"passed","Wed May 20 05:10:53 UTC 2026","Wed May 20 05:10:56 UTC 2026","3181","","TC_TPM_007 -  Verify Scroll to view savings in Thrive Plus Membership","","","","should click membership",""
"passed","Wed May 20 05:11:36 UTC 2026","Wed May 20 05:11:41 UTC 2026","5244","","TC_TPM_009 - Verify Video in Thrive Plus Membership Section","","","","should verify the Video of Membership page",""
"passed","Wed May 20 05:12:14 UTC 2026","Wed May 20 05:12:21 UTC 2026","7029","","TC_TPM_011 - Verify Video in Thrive Plus Membership Section","","","","should verify Love your Pet, Enjoy the Perks on the Thrive Plus Membership page",""
"passed","Wed May 20 05:08:35 UTC 2026","Wed May 20 05:08:36 UTC 2026","601","","TC_Services_008 - Verify Search Microchipping is successful","","","","should verify displayed details of ""Microchip ID""",""
"passed","Wed May 20 05:07:02 UTC 2026","Wed May 20 05:07:12 UTC 2026","9758","","TC_Resources_001_002_003_004 - Verify UI in Resources","","","","should open the page",""
"passed","Wed May 20 05:10:56 UTC 2026","Wed May 20 05:10:58 UTC 2026","1132","","TC_TPM_007 -  Verify Scroll to view savings in Thrive Plus Membership","","","","should scroll to view saving is displayed with animation",""
"passed","Wed May 20 05:06:07 UTC 2026","Wed May 20 05:06:20 UTC 2026","12951","","TC_GlobalSearch_010 - Verify under RECENT SEARCH displays last 5 searched texts (latest -> oldest).","","","","should open the page",""
"passed","Wed May 20 05:11:26 UTC 2026","Wed May 20 05:11:28 UTC 2026","2272","","TC_TPM_009 - Verify Video in Thrive Plus Membership Section","","","","should navigate to the Thrive Plus Membership",""
